 TITLE="TEMP"
 VARIABLES="X","Y","TEMP"
 ZONE I=         142 ,J=         282
   0.00000000       0.00000000       1.00000000    
  0.250000000       0.00000000      0.192782119    
  0.750000000       0.00000000       1.81227177E-02
   1.25000000       0.00000000       1.76720805E-02
   1.75000000       0.00000000       1.76108517E-02
   2.25000000       0.00000000       1.75703429E-02
   2.75000000       0.00000000       1.75394844E-02
   3.25000000       0.00000000       1.75141841E-02
   3.75000000       0.00000000       1.74923968E-02
   4.25000000       0.00000000       1.74729750E-02
   4.75000000       0.00000000       1.74552314E-02
   5.25000000       0.00000000       1.74387190E-02
   5.75000000       0.00000000       1.74231399E-02
   6.25000000       0.00000000       1.74082834E-02
   6.75000000       0.00000000       1.73940044E-02
   7.25000000       0.00000000       1.73801836E-02
   7.75000000       0.00000000       1.73667371E-02
   8.25000000       0.00000000       1.73535962E-02
   8.75000000       0.00000000       1.73407122E-02
   9.25000000       0.00000000       1.73280425E-02
   9.75000000       0.00000000       1.73155516E-02
   10.2500000       0.00000000       1.73032135E-02
   10.7500000       0.00000000       1.72910038E-02
   11.2500000       0.00000000       1.72789041E-02
   11.7500000       0.00000000       1.72669012E-02
   12.2500000       0.00000000       1.72549784E-02
   12.7500000       0.00000000       1.72431245E-02
   13.2500000       0.00000000       1.72313247E-02
   13.7500000       0.00000000       1.72195733E-02
   14.2500000       0.00000000       1.72078628E-02
   14.7500000       0.00000000       1.71961859E-02
   15.2500000       0.00000000       1.71845350E-02
   15.7500000       0.00000000       1.71729028E-02
   16.2500000       0.00000000       1.71612855E-02
   16.7500000       0.00000000       1.71496812E-02
   17.2500000       0.00000000       1.71380751E-02
   17.7500000       0.00000000       1.71264708E-02
   18.2500000       0.00000000       1.71148628E-02
   18.7500000       0.00000000       1.71032455E-02
   19.2500000       0.00000000       1.70916151E-02
   19.7500000       0.00000000       1.70799624E-02
   20.2500000       0.00000000       1.70682911E-02
   20.7500000       0.00000000       1.70565918E-02
   21.2500000       0.00000000       1.70448627E-02
   21.7500000       0.00000000       1.70330945E-02
   22.2500000       0.00000000       1.70212891E-02
   22.7500000       0.00000000       1.70094389E-02
   23.2500000       0.00000000       1.69975385E-02
   23.7500000       0.00000000       1.69855822E-02
   24.2500000       0.00000000       1.69735644E-02
   24.7500000       0.00000000       1.69614814E-02
   25.2500000       0.00000000       1.69493295E-02
   25.7500000       0.00000000       1.69371013E-02
   26.2500000       0.00000000       1.69247948E-02
   26.7500000       0.00000000       1.69123989E-02
   27.2500000       0.00000000       1.68999098E-02
   27.7500000       0.00000000       1.68873258E-02
   28.2500000       0.00000000       1.68746393E-02
   28.7500000       0.00000000       1.68618467E-02
   29.2500000       0.00000000       1.68489385E-02
   29.7500000       0.00000000       1.68359168E-02
   30.2500000       0.00000000       1.68227777E-02
   30.7500000       0.00000000       1.68095157E-02
   31.2500000       0.00000000       1.67961270E-02
   31.7500000       0.00000000       1.67826116E-02
   32.2500000       0.00000000       1.67689677E-02
   32.7500000       0.00000000       1.67551953E-02
   33.2500000       0.00000000       1.67412926E-02
   33.7500000       0.00000000       1.67272594E-02
   34.2500000       0.00000000       1.67130996E-02
   34.7500000       0.00000000       1.66988131E-02
   35.2500000       0.00000000       1.66843999E-02
   35.7500000       0.00000000       1.66698601E-02
   36.2500000       0.00000000       1.66551918E-02
   36.7500000       0.00000000       1.66403968E-02
   37.2500000       0.00000000       1.66254677E-02
   37.7500000       0.00000000       1.66104026E-02
   38.2500000       0.00000000       1.65951923E-02
   38.7500000       0.00000000       1.65798217E-02
   39.2500000       0.00000000       1.65642798E-02
   39.7500000       0.00000000       1.65485404E-02
   40.2500000       0.00000000       1.65325776E-02
   40.7500000       0.00000000       1.65163539E-02
   41.2500000       0.00000000       1.64998323E-02
   41.7500000       0.00000000       1.64829604E-02
   42.2500000       0.00000000       1.64656863E-02
   42.7500000       0.00000000       1.64479464E-02
   43.2500000       0.00000000       1.64296646E-02
   43.7500000       0.00000000       1.64107643E-02
   44.2500000       0.00000000       1.63911600E-02
   44.7500000       0.00000000       1.63707621E-02
   45.2500000       0.00000000       1.63494684E-02
   45.7500000       0.00000000       1.63271762E-02
   46.2500000       0.00000000       1.63037796E-02
   46.7500000       0.00000000       1.62791628E-02
